,0,1,2,3,4
18,velvetfiasco,what black confusion looks like,Is the lady singing about doing laundry?,confusion,
19,velvetfiasco,what black confusion looks like,Who else made the face with them when they heard it? 😂,joy/happiness,
20,velvetfiasco,what black confusion looks like,But get mad when whites give yall the same face,anger/irritation,
21,velvetfiasco,what black confusion looks like,,other,
22,velvetfiasco,what black confusion looks like,It's disbelief more than confusion. Cause she actually got up there with the whole ass confidence to commit to the hot mess😂😂😂😂,joy/happiness,
23,velvetfiasco,what black confusion looks like,That's me with the blonde hair recording 😂. I'm glad y'all enjoying their faces like I did when I noticed,joy/happiness,
24,velvetfiasco,what black confusion looks like,We're a collective😂,joy/happiness,
25,velvetfiasco,what black confusion looks like,I'm white and I'm confused. What kinda music is tnat,confusion,
26,velvetfiasco,what black confusion looks like,"for those who don't know, she's singing a song called An Unhealthy Obsession (a song about two stalkers unknowingly stalking each other) just…poorly",other,
27,velvetfiasco,what black confusion looks like,Why do we all have the same expression😂😂,joy/happiness,
28,velvetfiasco,what black confusion looks like,This girl with her mouth open is me. Because what is going on !!!,confusion,
29,velvetfiasco,what black confusion looks like,We ain't got no business be this funny 😂,joy/happiness,
30,velvetfiasco,what black confusion looks like,I need to see what they looking at🤣😂,other,
31,velvetfiasco,what black confusion looks like,they look like they watchin how mayo is made and the many different ways you can use it 🤣🤣🤣,joy/happiness,
32,velvetfiasco,what black confusion looks like,Black hat guy is disgusted…brown jacket is really concerned…burgundy is borderline upset…female black hat is appalled 😂😂😂😂,joy/happiness,
33,velvetfiasco,what black confusion looks like,More like flabbergasted 😂😂😂,joy/happiness,
34,velvetfiasco,what black confusion looks like,,other,
35,velvetfiasco,what black confusion looks like,I'm convinced black confusion begins with the eye brows 😁,joy/happiness,
36,velvetfiasco,what black confusion looks like,If I know you fucking lying was a video 😂😂😂,joy/happiness,
37,velvetfiasco,what black confusion looks like,"I love my people. If we don't say it, our faces DEFINITELY will🤣🤣🤣",joy/happiness,
38,velvetfiasco,what black confusion looks like,I had to watch this 10 tines to look at everyones face 😂😂😂,joy/happiness,
39,velvetfiasco,what black confusion looks like,What's going on here😂😂😂😂,confusion,
40,velvetfiasco,what black confusion looks like,I guarantee if they all looked each other they would laugh,joy/happiness,
41,velvetfiasco,what black confusion looks like,It's baby girl in the burgundy for me 🤣🤣 she's been bamboozled…. HOODWINKED😂😂😂,joy/happiness,
42,velvetfiasco,what black confusion looks like,"yea, friens.. i'm tryna figure out wtf is goin' on myself😂😂😂.",confusion,
43,velvetfiasco,what black confusion looks like,It's everyone GENUINELY being confused and trying not to be lmaoooo,joy/happiness,
44,velvetfiasco,what black confusion looks like,"WHY ARE WE LIKE THIS? 😂😂
I LOVE US",joy/happiness,
45,velvetfiasco,what black confusion looks like,Why do we not give a damn about a poker face…you gonna know exactly how we feel either way 😂,joy/happiness,
46,christian_vibes_global,turning a new age with no house no job no car..,"In the world, you will have tribulations but be of good cheer, I've already overcome the world_ John 16v33",support,
47,christian_vibes_global,turning a new age with no house no job no car..,@iam_amifnf a beautiful translation said Ive overcomed the world and denied it of any power to harm you and Ive conquered it for you... Gods word is comfort and inner strength ❤️,support,
48,christian_vibes_global,turning a new age with no house no job no car..,@iam_amifnf 🙂,other,
49,christian_vibes_global,turning a new age with no house no job no car..,@iam_amifnf amen,agreement,
50,christian_vibes_global,turning a new age with no house no job no car..,"Lord I lift up my brothers and sisters to you, guard their mind and heart because everything they do flows from it. Help them to have blind faith and feel your presence when they feel darkness. Be with them when they feel there is nowhere else to turn because we have all been through hard times and it is not easy. Send your helpers at every stage of their life like you did for me, let them be able to testify your glory like I am able to now. Help them to recognize the people you send into their lives to aid them in their journey. Propel them forward when they are weak and feel too exhausted to move. Keep them safe, give them the courage to make just another step daily. Continue to watch over them as I lift them up in my prayers today, help them to heal and find their way Amen.",support,
51,christian_vibes_global,turning a new age with no house no job no car..,"37, husband walked away with my 2 beautiful babies, hoping to leave me homeless. God stepped in and gave me a house, ALl CONTENTS BRAND NEW. I didn't lose my mind, I didn't get a stroke, I wasn't homeless as planned. What the enemy meant for evil, God turned it for my good. He's still working on the other things concerning my kids and I trust him to sort them out. But in it all, God gave me peace that makes no sense. So I will keep trusting Him",other,
52,christian_vibes_global,turning a new age with no house no job no car..,Im tired.,other,
53,christian_vibes_global,turning a new age with no house no job no car..,Lord may you answer our silent battles 🔥,support,
54,christian_vibes_global,turning a new age with no house no job no car..,"To all those who posted, Im sending you love and light. Keep pushing, God got you 😍😍. It will get better ❤️‍🩹",support,
55,christian_vibes_global,turning a new age with no house no job no car..,It is well !! Mehn ! This life is hard . But God promised a happy end . He says hes with us throughout the journey. Valleys down Or mountain top hes with us . All thing works together for our good 🙏🏿,support,
56,christian_vibes_global,turning a new age with no house no job no car..,One reason why I treat everyone around me nicely…Though we all have our various battles but when you hear what others are going through then you realize there was a reason why God told us to love our neighbors as ourselves. I always pray to be nice to people everytime ❤️😘🥰,support,
57,christian_vibes_global,turning a new age with no house no job no car..,I know it will get better 😢 but I am tired of going through 🥺💔 I can't even close my eyes at night 😢,other,
58,christian_vibes_global,turning a new age with no house no job no car..,This really got me teary😭🤧 life is in phases dears. Being late isn't also denial. Yours would eventually come. Don't give up. Sending love and hugs❤️🫂,support,
59,christian_vibes_global,turning a new age with no house no job no car..,"I won't even complain about wah I go through 😂😂😂life is hard no doubt but God saw this even before it happened, Hes seen it, Hes watching now and sees it all ….. imma wait for the blessings 🔥 tho it may tarry hmm 🤔",other,
60,christian_vibes_global,turning a new age with no house no job no car..,"I had suicidal thoughts too last year December…. The day I planned to do it, I cried, prayed and read my bible then slept off. In my sleep, I dreamt and saw my dad( he's dead too) hugging me and crying…. We were both crying and he told me ~Everything will be fine my princess.~ I got cried again and apologized to God. Tho everything isn't fine yet, its better than before🥹…. So I'd advise anybody going through hard times to table your issues to God and rest😌 he'll give u solutions",support,
61,christian_vibes_global,turning a new age with no house no job no car..,"I'm 35 no house, no car, no husband. I have 3 kids and 1 grandson. Some days I don't have a clue as to what I'm doing. I feel like I'm not doing enough while I'm doing the best I can but it's still not enough. I get emotionally embarrassed that at my big age I have absolutely nothing to show for the years I've been on this earth.",other,
62,christian_vibes_global,turning a new age with no house no job no car..,"The only way out of the storms of life is to swim through it. When you are in the PROCESS, your life might not look like it's becoming anything. Never compare because your journey is unique. TRUST in God and be PATIENT. Take it one day at a time as you make the moves towards finding Fulfillment in a meaningless world. Let the one who holds and knows the future take over the wheel and don't subject anything to a particular time frame. It's all going to be just fine and you will smile again. 🙏🏽 Peace be still 🕊️",support,
63,christian_vibes_global,turning a new age with no house no job no car..,"Moral of the story…everyone going through something, show love and kindness always. 🙏🏾",support,
64,christian_vibes_global,turning a new age with no house no job no car..,Dont worry if you dont have it all sorted trust me its not a problem that is normal living everyone hasnt gotten it all sorted even the richest people luck something .praying you find the happiness in the little you have and dont forget you are alive and somone wish to have had this chance enjoy💃🏽🕺,support,
65,christian_vibes_global,turning a new age with no house no job no car..,"Sounds like your in your prime !!!! Whoo hoo , i figured it out , your 30s are your best years wisdom and youth align for a short time! Enjoy every minute of it . God is so good , take a kingdom adventure!",support,
66,christian_vibes_global,turning a new age with no house no job no car..,"And this right here is the reason we must be kind to all people like we truly have no idea what they are going through... the clothes and make-up we wear does cover a lot of things, kindness is always needed in the world we live in. May God help us👏❤️",support,
67,christian_vibes_global,turning a new age with no house no job no car..,Praying for those that need peace. Reading some of these was heartbreaking,support,
68,christian_vibes_global,turning a new age with no house no job no car..,My advise to everyone is calm down and don't be in a rush. It's okay to have all the good things that make life easy,support,
69,onestopsipandshop,she is married to her grandmothers husband,djsweetpotatospice,This is grooming. She groomed her for this incestuous relationship.,other
70,onestopsipandshop,she is married to her grandmothers husband,newlifeastro_001,"@djsweetpotatospice ????
It's not incest tho. Not even technically. What're you talmbout?
Damn this a lil story don't have a damned thing ta do with you or me n you gittin caught up to the point you feel you must judge n convict these ppl.
Who REALLY gives a shit?",anger/irritation
71,onestopsipandshop,she is married to her grandmothers husband,iamwilliamatl,@djsweetpotatospice they arent related by blood.,other
72,onestopsipandshop,she is married to her grandmothers husband,x_humngbrd_x_mph,@l.o.v.e.y2002 don't even waste your time explaining,other
73,onestopsipandshop,she is married to her grandmothers husband,callherbob,You're grandma's last wish was to sell you to her husband… #groomed,other
74,onestopsipandshop,she is married to her grandmothers husband,wezzy2213,"""Take her place in the church"" seems like this congregation is morphing into a cult",other
75,onestopsipandshop,she is married to her grandmothers husband,walklikedat,Look like she took the grandma wig too!,surprise
76,onestopsipandshop,she is married to her grandmothers husband,designs_by_dahlen,,other
77,onestopsipandshop,she is married to her grandmothers husband,drlowkey,So your mother wanted to married him too? I have no words. Smh,confusion
78,onestopsipandshop,she is married to her grandmothers husband,chuchii29,She couldn't just will it to her?😂😂,joy/happiness
79,onestopsipandshop,she is married to her grandmothers husband,ms_nauls,Right. askew couldve just helped him . All that was unnecessary,anger/irritation
80,onestopsipandshop,she is married to her grandmothers husband,chuchii29,@ms_nauls exactly!!,agreement
81,onestopsipandshop,she is married to her grandmothers husband,chuchii29,@mecanicalpencils_ facts. Aint no justifying that,agreement
82,onestopsipandshop,she is married to her grandmothers husband,drlowkey,"""Thanks Goodness I was in my period."" If you have that mindset with your husband, you shouldnt marry him.",other
83,onestopsipandshop,she is married to her grandmothers husband,crisbracey,This was a crazy season…. The Housewives of Salt Lake City Season 1…..Her story line was disturbing,anger/irritation
84,onestopsipandshop,she is married to her grandmothers husband,msdeshan,,other
85,onestopsipandshop,she is married to her grandmothers husband,kemaabi,,other
86,onestopsipandshop,she is married to her grandmothers husband,miss.sophisticate,The little acidic throw up burn just hit my throat and went back down……….,anger/irritation
87,onestopsipandshop,she is married to her grandmothers husband,aarpfabulouslyfierce,This is disturbing and grooming in pedophilic way… no parent or grandparent should tell their child to do something like that. She was 22 and had her our life to enjoy and experience. This is weird.,anger/irritation
88,onestopsipandshop,she is married to her grandmothers husband,divinely_loved21,Everyone loves to talk about generational wealth until arrangements like this are brought up. 😅 Grandma wanted to secure the generational power and wealth thus appointing her granddaughter probably because she was of child bearing age. Still strange but if theyre in agreement then more power to them.,other
89,onestopsipandshop,she is married to her grandmothers husband,singnisey,Most trifling thing I heard all day,anger/irritation
90,onestopsipandshop,she is married to her grandmothers husband,nalecia_nicole,And I thought this as yt people ish,surprise
91,onestopsipandshop,she is married to her grandmothers husband,authoressnursewyeshiawright,Weird but not unheard of especially in the south oh the secrets and scandals of the southern churches,other
92,onestopsipandshop,she is married to her grandmothers husband,riah.ijai,"that's not incest, but definitely grooming",other
93,onestopsipandshop,she is married to her grandmothers husband,nickyela,This why I dont give money to churches. Why the pastor has several homes while members of the congregation struggling to keep electricity on.,anger/irritation
94,onestopsipandshop,she is married to her grandmothers husband,shonzjewelry,,other
95,onestopsipandshop,she is married to her grandmothers husband,ebknows,Pimped her granddaughter out!!!,anger/irritation
96,onestopsipandshop,she is married to her grandmothers husband,arintimmons,That's actually against the Bible…but okay 😒,other
97,onestopsipandshop,she is married to her grandmothers husband,bessie_daughter,,other
98,onestopsipandshop,she is married to her grandmothers husband,blk_aphrodite,Grandpa hit the jackpot… he knocking down generations 😂😂😂,joy/happiness
99,onestopsipandshop,she is married to her grandmothers husband,anitaboswell26,Girl you should have keep that to yourself and the folk in the church who already knew your story. Your grandmother wanted you to she would be in her grave still wanting me too,other
100,onestopsipandshop,she is married to her grandmothers husband,ladywitoptions,Do you think gma let gpa choose who he wanted to be with? Were there choices? 😳,confusion
101,onestopsipandshop,she is married to her grandmothers husband,doswell123,"And all that to gain stuff, objects and prosession.",anger/irritation
102,onestopsipandshop,she is married to her grandmothers husband,jstcarter__,,other
103,onestopsipandshop,she is married to her grandmothers husband,daughter_of_the_most_high_too,Which Bible are they reading from?,confusion
104,onestopsipandshop,she is married to her grandmothers husband,gigi_robin,,other
105,creatrlesedii,black graduate dancing,Some people are too cool 😹🔥,joy/happiness,
106,creatrlesedii,black graduate dancing,zomusa_thango,"If its nice, DO IT TWICEEEEEE😭😝😝💐💐",joy/happiness
107,creatrlesedii,black graduate dancing,kiing.geluk,Same time NEXT YEAR !!🤣🤣💃,joy/happiness
108,creatrlesedii,black graduate dancing,takitshipala,My favourite grad video😭,joy/happiness
109,creatrlesedii,black graduate dancing,mirriam.kunene,One thing about you ? Youll dance 😂🔥💃🏽,joy/happiness
110,creatrlesedii,black graduate dancing,jessie__chanell,Graduations are literally a CELEBRATION of Completion! I hate when I go to one and it favors a funeral! Y we cant clap and be happy!!,joy/happiness
111,creatrlesedii,black graduate dancing,kgothatso.m__,influencer!!!😍😍😍💖💖💖influencing!!,joy/happiness
112,creatrlesedii,black graduate dancing,ilovenemo12,"e geleza high baya fundisa marn,😂🔥🔥 congratulations again big brother.😍",joy/happiness
113,creatrlesedii,black graduate dancing,aliciamasinga,Lesedi 🔥🔥🔥❤well done brother,joy/happiness
114,creatrlesedii,black graduate dancing,givenkiban2,👏👏❤,joy/happiness
115,creatrlesedii,black graduate dancing,khanyisile.sibanda,Congratulations 🔥🔥❤️,joy/happiness
116,creatrlesedii,black graduate dancing,babydodles21,"""Ahh Ehh Genius, Im proud of you, Ahh Ehh Pasops""😂",joy/happiness
117,creatrlesedii,black graduate dancing,risingstar_saider,Legend🔥🌟,joy/happiness
118,creatrlesedii,black graduate dancing,zanny_weza,Well Done boet 👏👏👏👏👏👏👏👏👏👏👏so proud of you!,joy/happiness
119,creatrlesedii,black graduate dancing,theegirlmtha_,Exactly 😍,joy/happiness
120,creatrlesedii,black graduate dancing,capalott_keaa,Did it again!!!!🔥🔥🔥❤,joy/happiness
121,creatrlesedii,black graduate dancing,relebohile_mbongo,Congratulations Lesedi!!!🔥❤️🔥,joy/happiness
122,creatrlesedii,black graduate dancing,tessakekana,🙌😍,joy/happiness
123,creatrlesedii,black graduate dancing,bokang_m,❤️❤️❤️❤️❤️❤️❤️❤️❤️,joy/happiness
124,creatrlesedii,black graduate dancing,lwandomhlabeni,Congratulations 🥂,joy/happiness
125,creatrlesedii,black graduate dancing,parley_17,Ahhh ehhh Genius uzofahlakwa🤣❤️❤️❤️🔥🔥🔥congrats bro!,joy/happiness
126,creatrlesedii,black graduate dancing,leighmcflurry,Honors innit 🥰🥰🥰💪💪💪,joy/happiness
127,creatrlesedii,black graduate dancing,yonie_gamnca,Congratulations 😅❤️🥳,joy/happiness
128,creatrlesedii,black graduate dancing,thobanimagqabi,"Thina siyahleka, nina niyafunda Lesedi. 😩",joy/happiness
129,creatrlesedii,black graduate dancing,tebogo_gaba,"""Ke ho galemela today and everyday, you wont make it in life wena""😂😂😂. Congratulations bro🤘🏽🔥🔥💯",joy/happiness
130,creatrlesedii,black graduate dancing,thato_tauzen,🙌❤️🔥👏👏,joy/happiness
131,creatrlesedii,black graduate dancing,sirius_starr4,🔥🔥🔥🔥🔥🔥🔥🔥🔥,joy/happiness
132,creatrlesedii,black graduate dancing,simphiweee.n,ah Genius 😭😭❤️‍🔥,joy/happiness
133,creatrlesedii,black graduate dancing,lindokuhlet,Awuuuu 🥹🥹👏🏽👏🏽😍😍😍😍,joy/happiness
134,creatrlesedii,black graduate dancing,karis.forte,❤️❤️🔥,joy/happiness
135,creatrlesedii,black graduate dancing,notthenormalhxpe,Im proud of you bhozza yam🙌🏽❤️❤️,joy/happiness
136,creatrlesedii,black graduate dancing,keitu.metsee,Into emnandi iyaphindwa !😂😂,joy/happiness
137,creatrlesedii,black graduate dancing,nokubonga_ntsele,🔥🔥🔥,joy/happiness
138,creatrlesedii,black graduate dancing,kylelanga,🔥,joy/happiness
139,creatrlesedii,black graduate dancing,lindorm_rose,@akona_dumani is this you😂 are you gonna dance like this hahaha,joy/happiness
140,creatrlesedii,black graduate dancing,trish_koste,Congratulations 🎉,joy/happiness
141,creatrlesedii,black graduate dancing,gugudanisa13,You dont disappear hey😂🔥 congratulations Lesedi🎓🥳,joy/happiness
142,creatrlesedii,black graduate dancing,akhamantainer,Geleza mfana wase Geleza high 😂😂 hi there,joy/happiness
143,creatrlesedii,black graduate dancing,simone_majesty,🔥🔥,joy/happiness
144,creatrlesedii,black graduate dancing,sipho_mpho_nuse,🔥🔥🔥🔥,joy/happiness
145,creatrlesedii,black graduate dancing,tata_paper,Hi hi hi hi there hi there 🔥,joy/happiness
146,creatrlesedii,black graduate dancing,tata_paper,Hi there hi hi hi there 👋,joy/happiness
147,creatrlesedii,black graduate dancing,sine.okuhle,Aww yessss 🫶🏽🫶🏽,joy/happiness
148,creatrlesedii,black graduate dancing,crazy_humor202,Congratulations 🔥🔥🔥,joy/happiness
149,creatrlesedii,black graduate dancing,lulllu____,❤️😍,joy/happiness
150,creatrlesedii,black graduate dancing,crazy_humor202,🔥🔥🔥🔥🔥🔥,joy/happiness
151,creatrlesedii,black graduate dancing,ikageng__,Congrats💯👌,joy/happiness
152,creatrlesedii,black graduate dancing,karabonakaphal,Ezinye keh 🥹🥹💣,joy/happiness
153,creatrlesedii,black graduate dancing,electricbluu,Good luck finding work,other
154,creatrlesedii,black graduate dancing,kholofelo_08,🥳🥳Yesssss🙌🔥,joy/happiness
155,creatrlesedii,black graduate dancing,t_sholofelooo,Today and Everyday ❤️🥺👏🏻👏🏻🔥,joy/happiness
156,creatrlesedii,black graduate dancing,ayanda_motlhamme,Twice,joy/happiness
157,creatrlesedii,black graduate dancing,sinothilema,❤❤❤❤❤❤❤❤❤❤❤,joy/happiness
158,creatrlesedii,black graduate dancing,batsebamaepa,❤🙌🔥,joy/happiness
159,creatrlesedii,black graduate dancing,samuel._rsa.17,❤️❤️😢👏,joy/happiness
160,creatrlesedii,black graduate dancing,maaveetshabalala,🔥🔥,joy/happiness
161,creatrlesedii,black graduate dancing,ekse_vader,Congratulations 👏🙌🔥,joy/happiness
162,creatrlesedii,black graduate dancing,kwenamabye,Love you so much,joy/happiness
163,creatrlesedii,black graduate dancing,noko_monc,Manje cleaning 🙌,joy/happiness
164,creatrlesedii,black graduate dancing,re.filwe453,❤️👏❤️❤️👏👏,joy/happiness
165,creatrlesedii,black graduate dancing,noss_b_sa,👏🏽👏🏽welcome to the Honorius Crew,joy/happiness
166,creatrlesedii,black graduate dancing,mirriam.kunene,SOWETO to the top ! 🙌🏽🔥,joy/happiness
167,creatrlesedii,black graduate dancing,misskedi1,Ncccoooooooo Lesedi😍😍😍congratulations Papi,joy/happiness
168,creatrlesedii,black graduate dancing,rel_bogile23,Geleza u jabule mfanah🙌🔥👏👏❤️,joy/happiness
169,creatrlesedii,black graduate dancing,uqhawe.oonqunqayo,🔥🔥,joy/happiness
170,creatrlesedii,black graduate dancing,semiteepasco,Dankooo Boi Boiii🙏🙏🙏 Go Hard ......👏👏,joy/happiness
171,creatrlesedii,black graduate dancing,jacqueline_jay18,❤️🙌🔥,joy/happiness
172,hotfreestyle,baby refusing to wake up,Y'all better leave little man alone .. let him sleep,other,
173,hotfreestyle,baby refusing to wake up,thecaliemperor,This baby and me are on the same wavelength haha,joy/happiness
174,hotfreestyle,baby refusing to wake up,notbuttuglybutugly,Lil man worked a double last night 😂,joy/happiness
175,hotfreestyle,baby refusing to wake up,iamchristdavid,"Lil homie was like Hey Dad not today, chill 😔🤣🤣",joy/happiness
176,hotfreestyle,baby refusing to wake up,luchez_k9,"""Im finally having those BIG dreams here, leave me alone BRO""",joy/happiness
177,hotfreestyle,baby refusing to wake up,chellemac303,This is the cutest thing ever! God bless!😍😍😍,joy/happiness
178,hotfreestyle,baby refusing to wake up,taygo.bay,"🤣🤣🤣 Lil man said, ""Let me sleep & be great""! ❤️🤗",joy/happiness
179,hotfreestyle,baby refusing to wake up,olusholababy,Thats the breadwinner mode 😂😂,joy/happiness
180,hotfreestyle,baby refusing to wake up,superman_661,Lil chocolate chip😂😂😂,joy/happiness
181,hotfreestyle,baby refusing to wake up,jessie__lowkey,🤣🤣 I Feel Him.,agreement
182,hotfreestyle,baby refusing to wake up,g.ina_bina,Love it ❤️❤️❤️,joy/happiness
183,hotfreestyle,baby refusing to wake up,caremel185,He went to work and ran sum errands he said he needs 5 minutes 😂😂😂😂😂,joy/happiness
184,hotfreestyle,baby refusing to wake up,darealchosentv,OMG hes too smart 😍😍😍😍and handsome 💙,joy/happiness
185,hotfreestyle,baby refusing to wake up,kellybragger,Why does he HAVE to wake up....just carry him while hes sleeping 😴,other
186,hotfreestyle,baby refusing to wake up,louisel_8,He is saying nah not today 😂😂😂,joy/happiness
187,hotfreestyle,baby refusing to wake up,savage_keed10,Awww😍❤️,joy/happiness
188,hotfreestyle,baby refusing to wake up,msss.lovely_,He is literally the cutest and clearly prioritizes his peace/sleep😂God blessed yall 😍,joy/happiness
189,hotfreestyle,baby refusing to wake up,ms_lucci,"Leave him alone he doesnt want to be woke up, just pick him up & carry him",other
190,hotfreestyle,baby refusing to wake up,thickandsexy60,"""Stop disturbing Daddy""😢😂",joy/happiness
191,hotfreestyle,baby refusing to wake up,snowhites_lil_sis,He was not having it at all 😂😂,joy/happiness
192,hotfreestyle,baby refusing to wake up,staxxbre,"I wouldve been kissing those cheeks , lips , nose , chin , etc lol 🩷😚",joy/happiness
193,hotfreestyle,baby refusing to wake up,tevin92bk,Thats us getting Kendrick to respond to ETHER THE CANADIAN 😩,other
194,hotfreestyle,baby refusing to wake up,dida.kas,Lil bro has big dreams😂,joy/happiness
195,hotfreestyle,baby refusing to wake up,generell_735,He had a long day at work bro lol,joy/happiness
196,hotfreestyle,baby refusing to wake up,fuccctheworld,😂,joy/happiness
197,hotfreestyle,baby refusing to wake up,uniqueliz,So cute! 🤭😍🥰,joy/happiness
198,hotfreestyle,baby refusing to wake up,wayne__ushera,How old is this kid 😂😂,other
199,hotfreestyle,baby refusing to wake up,spencerparker507,😂😂😂😂,joy/happiness
200,hotfreestyle,baby refusing to wake up,jeaniebeenee,❤️,joy/happiness
201,hotfreestyle,baby refusing to wake up,kesh_ola1,Lil man😂😂😂😂,joy/happiness
202,hotfreestyle,baby refusing to wake up,joycemensahj,😂😂😂😂,joy/happiness
203,hotfreestyle,baby refusing to wake up,antjebexter,😂😂😂,joy/happiness
204,hotfreestyle,baby refusing to wake up,scarah_1977,😂😂😂,joy/happiness
205,hotfreestyle,baby refusing to wake up,neikared20,😂😂😂😂😂,joy/happiness
206,hotfreestyle,baby refusing to wake up,elsamupandira,My ovaries 😩but in 5+ years😅🥹🥹🥹🥹,other
207,hotfreestyle,baby refusing to wake up,carrinho1515,😂😂😂😂,joy/happiness
208,hotfreestyle,baby refusing to wake up,mrztbybeyb,So cute!! 😂😂😂,joy/happiness
209,kevonstage,where am i based on the food im eating?,Church funeral OR church progRUM.,other,
210,kevonstage,where am i based on the food im eating?,jovani757,"Church. No matter what the reason, its church!",agreement
211,kevonstage,where am i based on the food im eating?,marcusastanley,Only thing wrong with that plate is that Fanta. Grief requires a styrofoam cup.,other
212,kevonstage,where am i based on the food im eating?,j_stclair_notsinclair,"Yep! Sitting there at the table while EATING and saying Didnt Uncle Robert look good"". Yep, he shole did (while chewing on chicken) Discussing a dead body while eating is insane! 😂😂😂",joy/happiness
213,kevonstage,where am i based on the food im eating?,ejgaines,Two words: Fellowship. Hall.,other
214,kevonstage,where am i based on the food im eating?,ms.bribilan,So we all went to the same church growing up? 😂😂😂😂😂,joy/happiness
215,kevonstage,where am i based on the food im eating?,stoopandstank,Somebody church basement.,other
216,kevonstage,where am i based on the food im eating?,simplyniquek,Funeral or before Bible study meal in the hall,other
217,kevonstage,where am i based on the food im eating?,wendi_nicole,Funeral repass with a lot of people coz that little wing and little piece of cake means they stretching food,other
218,kevonstage,where am i based on the food im eating?,misssharid,Definitely a fune Only missing the red koolaid Sprite concoction.,other
219,kevonstage,where am i based on the food im eating?,aliahsheffield,At a fune,other
220,kevonstage,where am i based on the food im eating?,ashleyjenelle613,I definitely said a funeral…they served that in the basement of the church 😂,joy/happiness
221,kevonstage,where am i based on the food im eating?,christianjohnsoncomedy,In the fellowship hall after a Homegoing celebration,other
222,kevonstage,where am i based on the food im eating?,gigi_leflair,Church. Funeral or revival or something like that,other
223,kevonstage,where am i based on the food im eating?,terilisha,Lmfaooo accurate 😂😂😂💀☠️… I love how we all have lived the same black life 🫶🏼🫶🏼🫶🏼 I love yall,joy/happiness
224,kevonstage,where am i based on the food im eating?,itsme_melray,U just walked down them very dangerously narrow steps of the churchs basement and yes u finna wait in line bc u been smelling that chicken since service started.,other
225,kevonstage,where am i based on the food im eating?,cami_speaking,…and youre eating this in the church basement with the very narrow stairs and its hot. No takeout plates cuz they aint sure how many family members coming 😂,other
226,kevonstage,where am i based on the food im eating?,mraverybrown21,"Theyre at a choir anniversary or a 2nd service, for sure. Lmao 😅.",other
227,kevonstage,where am i based on the food im eating?,dontcallmeewhitegirl,"Your response is the most black, blackity, blackest response ever 😂",joy/happiness
228,kevonstage,where am i based on the food im eating?,the_indomitable_blackman,A repass... who done died and WHY AINT NOBODY TELL ME?! AINT NOBODY TOLD ME NOTHING!!! 😭😭😭😭,other
229,kevonstage,where am i based on the food im eating?,icanonlybetiffy,"Repast or 2nd service, guests eat first! Lol!",other
230,kevonstage,where am i based on the food im eating?,themeganbaca,"😔🙏🏽Definitely someone went up yonder. My condolences. I also apologize for the ignorant fool about to leave the comment ""sorry for your LOST.""",other
231,kevonstage,where am i based on the food im eating?,kevonstage,😂😂😂,joy/happiness
232,kevonstage,where am i based on the food im eating?,iamcrystaltgreen,Someones repass! God rest their soul!!! 😳,other
233,kevonstage,where am i based on the food im eating?,quianawatson_,The Repass,other
234,kevonstage,where am i based on the food im eating?,_nicolerene_,WHO DID THE BODY?!?!?,other
235,kevonstage,where am i based on the food im eating?,easybreeziebeautiful,"That Sams club potato salad that they like to soup up by adding Mustard, accent, salt, pepper and paprika gave it way for me",other
